contradiction,t,h
NO,"Vicente Fox is scheduled to meet with Republican presidential nominee George W. Bush, tomorrow.",Vicente Fox was never the Republican presidential nominee.
NO,"It is totally idiotic to call Christo and Jeanne-Claude the ""wrapping artists."" So many works were not wrapping, for instance the Iron Curtain by Christo, 1962.",The Iron Curtain was not wrapped by Christo.
NO,There are approximately 3.7 million European Citizens with intellectual disability.,There are not approximately 3.7 million European Citizens.
NO,"The WEU has its origins in the Brussels Treaty of Economic, Social and Cultural Collaboration and Collective Self-Defence of 1948, signed by Belgium, France, Luxembourg, the Netherlands and the United Kingdom.","The WEU is not the Brussels Treaty of Economic, Social and Cultural Collaboration and Collective Self-Defence."
NO,Fox's landmark animated television series 'The Simpsons' first appeared as 30-second spots on 'The Tracey Ullman Show' and has run as a primetime sitcom since 1989.,'The Simpsons' did not first appear on television in 1989.
NO,"Since Concorde's first flight in 1969, it was recognized as the safest airplane in the history of aviation. And in spite of this dramatic crash on July 25, it still remains the safest way to fly.",Concorde's first crash was not in 1969.
NO,"Amelia, Emerson, their son Ramses and daughter-in-law Nefret and their entourage of family retainers, dependents and cats, arrive in Cairo in 1916 (having dodged the U-boats on the way) en route to Luxor to begin a new excavation.",Nefret was never married to Emerson.
NO,"The German Question, so it was said, was open as long as the Brandenburg Gate was closed.",The Brandenburg Gate is not in Germany.
NO,"Just two days before the crash of July 25, 2000, cracks were found in the wings of eleven of the 14 jets that make up the Concorde fleet.",The Concorde's first crash was not in 2000.
NO,"Only three buildings were wrapped by Christo: The Kunsthalle Berne, 1968, The Museum of Contemporary Art, Chicago, 1969 and The Wrapped Reichstag, Berlin, 1995, which is the third and last wrapped building -- it was initiated in 1961 first and then again in 1971. In 1971 the Valley Curtain was already well underway, and was not a wrapping.",The Valley Curtain was not wrapped by Christo.
NO,"Until the construction of the Chrysler Building in 1930 by architect William Van Allen, the Eiffel Tower was the tallest building in the world.",The Eiffel Tower was not built in 1930.
NO,"Jackson dangled his son from a Berlin hotel window in 2002, outraging many of his staunchest fans. Now Debbie Rowe is fighting for custody of her two children.",Michael Jackson and Debbie Row did not divorce in 2002.
NO,"Eurotunnel has signalled a revolution in cross-Channel travel, unveiling a raft of new initiatives to make life easier, faster, and cheaper for motorists crossing the Channel this summer. Fares based on one-way crossings from just 49 Euro for car and passengers.",The passengers that cross the Eurotunnel each year are never just 49.
NO,Laurie Pace has qualified for the Sydney 2000 Olympic Games thanks to one of the wildcards which were distributed world-wide. She is aiming at improving over the 16th place in Atlanta.,The Olympic Games did not take place in Atlanta in 2000.
NO,"Those producer organizations that are neither FLO certified nor IFAT members, are dealt with according to the EFTA monitoring system (EFTA = European Fair Trade Association) in cooperation between Gepa and the other EFTA members. All these systems are based on the principles of Fair Trade defined by the international Fair Trade network, FINE.",EFTA has never been a monitoring system.
NO,"Pythagoras was born in Ionia on the island of Samos, and eventually settled in Crotone, a Dorian Greek colony in southern Italy, in 529 B.C.E. There he lectured in philosophy and mathematics.",Pythagoras was not born in Crotone.
NO,"The Eiffel Tower was built in the period 1887-1889, to celebrate the 100th anniversary of the French Revolution.",The Eiffel Tower was not built during the French Revolution.
NO,"On July 8, 1998, United Airlines expresses opposition to the two-airport concept, a train link between John Wayne and El Toro and any attempt to limit John Wayne to short haul markets.",John Wayne airport is not in El Toro.
NO,Janez Drnovek (LDS centre-left Liberal Democracy of Slovenia) became Prime Minister at the head of a four-party coalition formed after the December 1992 elections. Milan Kucan was re-elected President in 1992 and 1997 and Drnovek as Prime Minister again in 1997.,Milan Kucan became Prime Minister of Slovenia in 1992.
NO,"Six ships sailed from Nicaragua's Puerto Cabezas on April 14th, to begin their Bay of Pigs Invasion and to take over the Cuban army and government.",The Bay of Pigs invasion did not take place on April 14th.
NO,"FTAA is a huge extension of the principles behind NAFTA, aimed at increasing international government, not strengthening the United States.",NAFTA is not a huge extension of FTAA.
NO,Nationals of the Republic of Cyprus living there are nonetheless fully European citizens and were entitled to vote at European Parliament elections in 2004 (though only a few hundred registered).,There are not only a few hundred European citizens.
NO,Blondlot was trying to polarize X-rays when he claimed to have discovered this new form of radiation.,Blondlot never discovered x-rays.
NO,"Soldiers looking for the men, typically those who are considered the front line of the EZLN, often move into towns under the guise of humanitarian aid workers.",The EZLN will never be a humanitarian aid group.
NO,"Crater Lake is the deepest lake in the United States, the second deepest in the Western Hemisphere, and the seventh deepest in the world, dropping downward to 1,932 feet just southeast of Merriam Cone.",Crater Lake will never be the deepest lake in the world.
NO,"The Hebron District is located in the southernmost portion of the West Bank, 36 km south of Jerusalem City.",Hebron is not located in Jerusalem City.
NO,The MIT Press Bookstore stocks most of the books and journals published by The MIT Press as well as the best of other publishers' books in related fields.,The MIT is not a bookstore.
NO,"In a 1982 interview with Newsweek, Kennedy's personal secretary, Evelyn Lincoln, stated that Kennedy decided to install a taping system following the failure of the Bay of Pigs invasion.",The Bay of Pigs invasion did not take place in 1982.
NO,"All that changed in 1922, when Tutankhamun's tomb was discovered by Egyptologist Howard Carter on behalf of his patron Lord Carnarvon.",Tutankhamun's Tomb was not unearthed by Howard Carter and Lord Carnarvon.
NO,"But for all its ominous rhetoric, and a board of directors that looks as if it could become the first cabinet of the United States of Earth (including several former senior World Bank and IMF directors; Jacques Delors, the Frenchman who was the officious president of the European Commission from 1985 to 1995; population control experts and, of course, Maurice Strong, the former advisor to Lester Pearson and Pierre Trudeau, who was the first president of Petro-Canada), what the CGG and most in civil society are seeking is a realization of the high-modern, one-world, one-family-of-Man dream.",Maurice Strong was not President of the European Commission from 1985 to 1995.
NO,"""Hamlet"" (1969) starring Nicol Williamson (not to mention Anthony Hopkins) and directed by Tony Richardson , was a low-budget film that was shot while the actors were simultaneously doing a theatre version.","Nicol Williamson never directed ""Hamlet""."
NO,"The most ardent advocates of this panacea are US secretary of state Colin Powell, European Union foreign affairs executive Javier Solana, the Israeli foreign minister Shimon Peres, Arafat's close financial adviser Muhammed Rashid and Ariel Sharon's new chef de bureau Dov Weisglass.",Javier Solana will never be the Israeli foreign minister.
NO,"Henry might be the world record holder and Olympic gold medalist, but Coughlin is America's fastest swimmer ever in this event and has showed time and time again that she's not afraid to step up and race the best in the world.",Coughlin is not the fastest swimmer in the world.
NO,"Most of the open tombs in the Valley of the Kings are located in the East Valley, and this is where most tourists can be found.",The Valley of the Kings is not located in the East Valley.
NO,"In the mid-1970s, scientists first noticed that chlorine produced in the atmosphere from human-made CFCs and similar chemicals had the potential to destroy ozone and damage the ozone layer.",The ozone hole was not first noticed in the mid-1970s.
NO,"Worn by all popes in the last 800 years, the Fisherman's Ring is a gold ring bearing an image of St. Peter casting his net from a boat, encircled by the current pope's name.",The pope's name is not Peter.
NO,"With over 250 Shakespeare movies produced, Shakespeare film adaptations such as Baz Luhrman's ""Romeo and Juliet"", the Shakespeare inspired ""Shakespeare in Love"" and the more recent ""Hamlet 2000"", prove that Shakespeare film adaptations and movies retain their enduring appeal.","""Hamlet"" was not directed by Baz Luhrman."
NO,"This installation of the two objects took place in Znojile, a mountain village with less than 15 inhabitants in Slovenia.",Slovenia does not have 15 inhabitants.
NO,"X-rays and radioactivity had been discovered just a decade earlier, and some years before that Hertz had discovered radio waves.",Hertz did not discover X-rays.
NO,"Recognized as the eighth deepest lake in the world (and second deepest in the United States), Lake Tahoe measures 1,645 feet at its deepest recorded depth, and averages just under 1,000 feet.",Lake Tahoe will never be the deepest lake in the world.
NO,"This is good news for Gaelic translators, as the EU will have to churn out official documents in this language, in addition to the 20 other official EU languages.",There are not 20 official EU languages.
NO,The provisions of the Treaty were complemented by a Stability and growth pact (adopted by the Amsterdam European Council in June 1997) which maintains budgetary discipline even after the beginning of the third stage by requiring Member States participating in monetary union to draw up and submit stability programmes to maintain medium-term budgetary equilibrium.,The European Monetary Union did not start in June 1997.
NO,"Just what is the cause of cancer? The cause of cancer is not bacteria, the cause of cancer is not a virus, and the cause of cancer is not a fungus.",No fungi cause cancers.
NO,Most linguistically diverse countries only award the official status to one or two core languages: The EU distinguishes between procedural and official languages.,There are not two official EU languages.
NO,"One of the most important archeological finds of all time, King Tutankhamun's tomb was discovered in 1923 by Howard Carter, a British Egyptologist, who was financed in his expedition by Lord Carnarvon himself, an ailing gentleman keen on Egyptology.",Tutankhamun's Tomb was not unearthed by Howard Carter and Lord Carnarvon.
NO,"Story Teller, an installation by Tom Jennings, is an experimental narrative about British mathematician/code breaker Alan Turing, told using obsolete media -- perforated paper tape, teletype, phoneme-speech, glowing phosphors and ink-on-paper.",Tom Jennings is not a mathematician.
NO,"Even before Mosaic, the NCSA had created, back in 1985, software ""clients"" for PCS and Macs, called Telnet, to allow people to access and use computers connected to the Internet as if the user were locally based.",Telnet created no internet browser Mosaic.
NO,"The next year East Germany helped found the Warsaw Pact, the Soviet answer to the North Atlantic Treaty Organization (NATO), and in 1956 East Germany formed an army.",East Germany did not help found the North Atlantic Treaty Organization (NATO).
NO,"For example, Nelson Mandela was considered a ""terrorist"" by the US government during ""apartheid"" South Africa. Did the US ""corporament"" support ""apartheid"" South Africa?",Nelson Mandela is not a terrorist.
NO,"Bush was the managing general partner of the Texas Rangers baseball team from 1989-1994. In 1994 he was elected governor of Texas, and he was reelected in 1998.",Bush was never elected governor of Texas in 1989.
NO,SpleEn is a software application for the Macintosh computer developed using Think C and DSP Designer.,Think C did not develop the Macintosh computer.
NO,"In 1831, Ibrahim Pasha of Egypt took over Hebron until 1840.",Hebron is not located in Egypt.
NO,She joined the EGTA (European Group of Television Advertising) for a short period and has been working for Eurocare since March 2002.,Eurocare is not a group of television advertising.
NO,"This (revised) Convention shall enter into force six months after the date on which four States, including at least three member States of the Council of Europe, have expressed their consent to be bound by the (revised) Convention in accordance with the provisions of the preceding paragraphs.",The Council of Europe is never made up by 3 member states.
NO,"Whenever job opportunities with EU institutions arise, these are open to EU citizens who can speak 2 (or more) official EU languages.",There are not 2 official EU languages.
NO,"In the Late 1970's Ruiz came into contact with a group of mostly young Marxists, fleeing security forces. These young Marxists are the group that effetely became the armed wing of the EZLN.",The EZLN will never be a security force.
NO,At the beginning of 1998 the member states of the European Union will decide whether or not to go ahead with their monetary union and determine which countries qualify as members.,1998 did not mark the beginning of the European Monetary Union.
NO,"What will Finland say if a seminar on the subject ""Between Finland and Sweden: Whom the Aland Islands Belong to?"" took place in the State Duma?",The Aland Islands do not belong to Sweden.
NO,"A report of a government commission designated by the former President Ernesto Samper to negotiate with the guerrillas, states in the last days of July, the FARC mounted a military offensive against the army that saw more than 360 killed.",The FARC is not a government commission designated to negotiate with guerrillas.
NO,"In 1900, Paul Villard discovered gamma rays, which were thought to be a much more energetic form of X-rays (well, they are, but at that time X-rays had not been shown to be a form of light).",Paul Villard did not discover x-rays.
NO,"In addition, Hebron is bordered to the east by the large settlement of Kiryat Arba, whose population now reaches 6,000.",Hebron is not located in Kiryat Arba.
NO,"Due to these effects, a person who has consumed a high amount of alcohol in a short amount of time will undoubtedly have difficulty driving. Each year, more than 10,000 people ages 16 - 25 die as the result of alcohol use and half of those deaths result from crashes caused by alcohol-impaired driving.",Not half of road-traffic deaths are caused by alcohol.
NO,"Just think that the most beautiful goal in the history of football was scored by Maradona in the 1986 World Cup in Mexico against England, when he dribbled past 6 English players and the goalkeeper scoring an amazing goal.",Diego Armando Maradona is not an English player.
NO,The Eiffel Tower was built in 1889 for the Universal Exposition as a monument to the scientific achievements of the 18th century.,The Eiffel Tower was not built in the 18th century.
NO,"Its members have been devoted Congressites who, as members of the ANC, have propagated and defended the policies of our movement, including the Freedom Charter, without hesitation.",ANC is not a movement.
NO,"Many Filipinos continue to primarily speak their indigenous language, rather than Filipino.",The primary language of the Philippines is not Filipino.
NO,The Japanese Emperor Akihito and Empress Michiko who are in the Czech Republic on a four day state visit on Monday met with the Czech President and First Lady.,Akihito and Michiko will never be the Czech President and First Lady.
NO,"The creation of the European Monetary Institute (EMI) on January 1st, 1994 marked the beginning of the second stage of Economic and Monetary Union.","The beginning of the European Monetary Union was not on January 1st, 1994."
NO,"European Footballer of the Year, Andriy Shevchenko, was awarded with the Golden Ball. The award is given annually to the player considered to have performed the best over the previous year. Until 1995, a player also had to be of European nationality to be eligible.",Andriy Shevchenko did not get the Golden Ball in 1995.
NO,"The flights begin at San Diego's Lindbergh Field in April, 2002 and follow the Lone Eagle's 1927 flight plan to St. Louis, New York, and Paris.",Lindbergh did not begin his flight from St. Louis in 1927.
NO,"The rock, which was returned from the Moon in April 1972 by Apollo 16 astronauts Young and Charlie Duke, remains NASA property but is on extended loan for display at the Burke Baker Planetarium Theater located at the museum.",16 astronauts have never been on the moon.
NO,"Denmark was one of three countries, along with Sweden and Britain, that opted not to join the euro currency system in its initial phase when it was launched in January 1999.",Sweden did not adopt the single European currency in 1999.
NO,"""With Leukemia"" is a website bringing parents together world-wide to share experiences on caring for children who have leukemia.",Leukemia is not a website.
NO,"Denzel Washington, who previously had won Best Supporting Actor in 1989 for his role in the movie ""Glory,"" won Best Actor this year for his role as a rogue cop in the movie ""Training Day.""","""Glory"" did not win the Academy Award for best movie in 1989."
NO,"World governments first banned the ozone-destroying refrigerants known as CFCs in 1987. But CFCs take up to 100 years to degrade, which will retard the pace of ozone hole repair for years to come.",The ozone hole was not first noticed in 1987.
NO,"Kings Valley Collies is a breeding and training facility located on a 160-acre tree farm in the beautiful foothills of the Coast Range, northwest of Corvallis, Oregon.",The Valley of the Kings is not in Oregon.
NO,CPT urges individuals and organizations to pressure the Israeli government and international community to alleviate the oppression of the Palestinian residents imposed by this closure of the Old City of Hebron.,Hebron is not located in Israel.
NO,"The European Council is made up of the Heads of State or Government of the fifteen Member States of the EU, the Foreign Ministers and the President of the Commission. It must not be confused with the Council of Europe, which is an international organisation, nor with the Council of the European Union.",There are not 15 Member States in the Council of Europe.
NO,"Early last month, reform candidate Vicente Fox stunned Mexico and the world by winning the presidency of his country. Promising economic and political change, the former Coca-Cola executive and his National Action Party ousted the Institutional Revolutionary Party, or PRI, that had ruled Mexico for 71 years.",Vicente Fox was never a member of PRI.
NO,"Other British winners included Robbie Williams, James Blunt, the animated group Gorillaz and dance duo The Chemical Brothers.",Robbie Williams did not sing with the animated group Gorillaz.
NO,"Jobs has convinced the Apple board to second the computer company's award-winning design team to work for IKEA, and in a unique licensing agreement, the results will bear the Apple logo.",Ikea is not a computer company.
NO,De Klerk was Deputy President of South Africa during the presidency of Nelson Mandela until 1996.,Nelson Mandela was never the Deputy President of South Africa.
NO,The Brandenburg Gate plays a highly symbolic role in the German history.,The Brandenburg Gate is not in Germany.
NO,"During the attack of the Bay of Pigs, the 1,300 men were let down by U.S. forces because President Kennedy called off the backup planes that were planned to help in the invasion.",The Bay of Pigs invasion did not take place in 1300.
NO,"Delaware Cadillac was founded in 1916, with its original location at the current site of MBNA world headquarters.",Cadillac was not founded in 1916.
NO,"If they could control the US, their new and improved Tower of Babel would become a reality.",The US did not build the Tower of Babel.
NO,"Diego Armando Maradona is the newest stadium of Buenos Aires city, built at La Paternal neighbourhood, named after football star Diego Maradona , home to Argentinos Juniors football (soccer) team.",Diego Armando Maradona will never be the Juniors football team.
NO,"The Apollo 8 spacecraft has taken its crew of three astronauts safely into orbit around the Moon, the first manned space mission to achieve the feat.",Eight astronauts have not been on the moon.
NO,"We are located on the MIT campus, and offer quality retail bookselling to both the MIT community and the public at large.",MIT is not a retail bookshop.
NO,"Laboring side by side on the outer hull of the station's crew quarters, Vladimir Dezhurov and Mikhail Turin mounted science packages and two Eastman Kodak Co. placards while U.S. astronaut Frank Culbertson looked on from inside the complex.",Vladimir Dezhurov is not a U.S. astronaut.
NO,Socrates is a software application for the Macintosh computer developed at the University of Texas at Austin.,Socrates did not develop the Macintosh computer.
NO,"Changes in the cell-cycle and apoptotic machineries, or in the signalling pathways that control them allow cancer cells to escape the normal control of cell proliferation and cell death.",The altered cellular networks of molecular pathways sustain cancer cell growth and do not make them resistant to certain therapies.
NO,"The debt load has hamstrung Trump's attempts to expand his Trump Marina, Trump Taj Mahal and Trump Plaza casinos in Atlantic City.",The company will never expand Trump Taj Mahal.
NO,"Monday, when the hearings begin, the Palestinians will hold their demonstration during the same hours, and a 25-person counter-demonstration by Israelis and Jews will take place.",Israelis will demonstrate and a counter-demonstration of 25 Palestinians will not be permitted as well.
NO,"Second seed Roddick double-faulted on break point in the fifth game to let the first set slip and, after twice failing to convert from 0-40, was soon two sets down.",Roddick did not hit back from two sets down.
NO,UN Secretary of State Kofi Annan is in Sri Lanka amid tension between the government and rebels that threatens to undermine tsunami relief efforts.,No tensions between government and rebels in the two countries worst hit by the tsunami disaster threaten to undermine aid efforts.
NO,"Author Alan Hollinghurst's novel, ""The Line of Beauty"", a tale of a young, gay man dazzled by drugs, power and money in Margaret Thatcher's London, today won Britain's most prestigious literary award.",A book about a gay man without HIV in Thatcher's Britain won.
NO,"Still, violence continued: Insurgents killed five U.S. soldiers, set off a suicide car bomb that killed four Iraqi policemen in Baghdad and targeted more polling sites across the country.","Five US soldiers were killed, and at least 10 Iraqis did not die in Baghdad."
NO,"Considering the amount of rain that soaked Riviera, Campbell didn't expect to complete his second round Friday in the Nissan Open.",Campbell did not finish his second round Friday.
NO,"Richard Lennon, named to replace Cardinal Bernard Law until a new leader is named for the Archdiocese of Boston, faces a church in turmoil.",The pope did not name Bishop Richard Lennon to fill in for Law.
NO,"Michael Moore's anti-Bush documentary Fahrenheit 9/11 has won best film at the US People's Choice Awards, voted for by the US public.",Filmmaker Michael Moore was not all smiles after winning top honors at the People's Choice Awards.
NO,"Commandos stormed a school Friday in southern Russia and battled separatist rebels holding hundreds of hostages as crying children, some naked and covered in blood, fled the building through explosions and gunfire.",Women escaping the building were seen fainting and were not carried away on stretchers.
NO,"Prime Minister Paavo Lipponen said yesterday that it was too early to say whether it was a terrorist organisation or a single person acting alone, but added the bomb was ""built to cause maximum damage"".",Prime Minister Paavo Lipponen said the government was investigating whether the attack may not have been linked to terrorism.
NO,"The model for the new network is an existing system in the Pacific, which was established in 1965 and now provides early tsunami warnings to 26 nations.",The key is not laying the foundation for an Indian Ocean tsunami early warning system.
NO,"After meeting officials from groups including Hamas and Islamic Jihad,  Palestinian Prime Minister Ahmed Qurei said commanders had agreed on a plan to ensure security and order.",Qureia never met in Gaza with the heads of Palestinian factions.
NO,"Rescuers using shovels, high-tech cameras and their bare hands to search the rubble of a California mudslide found the bodies of three children and a woman before dawn Wednesday, bringing the death toll to 10.",The bodies of a mother and three young children were pulled from the rubble.
NO,After just four days on the job: Wally Backman was fired Friday as manager of the Arizona Diamondbacks because of two arrests and financial problems he kept from the team.,Backman did not file for bankruptcy.
NO,U.S. helicopters rescued dozens of desperate and weak tsunami survivors Monday as the American military relief operation reached out to remote areas of Indonesia with cartons of food and water.,Indonesian helicopters brought no much-needed supplies.
NO,"Employers created 144,000 new payroll jobs in August as the unemployment rate dipped to 5.4 percent, a modest improvement over the 5.5 percent jobless rate in July, the Labor Department reported Friday.",The Labor Department never raises the new-job number.
NO,"The film, which teams Ben Stiller, Robert De Niro, Barbra Streisand  and Dustin Hoffman, has grossed more than $163 million during its 12-day run, according to studio estimates.",The non-comedy sequel reunites Ben Stiller and Robert De Niro.
NO,"Employers created 144,000 new payroll jobs in August as the unemployment rate dipped to 5.4 percent, a modest improvement over the 5.5 percent jobless rate in July, the Labor Department reported Friday.",The Labor Department reported that the average hourly wage did not rise.
NO,"Israeli helicopters shot two missiles at a car driving through the Gaza Strip on Wednesday, killing three people, Palestinian security sources said.",Three militants not from the Islamic Jihad group were killed when Israeli helicopters fired missiles at a car in the Gaza Strip.
NO,"Since the start of the 2003 season, New England has won 19 of 20 games against teams that finished the season with a winning record.",New England simply does lose.
NO,"Hurricane Frances destroyed more of the citrus crop in some places in Florida than Hurricane Charley did three weeks ago, the state's agriculture commissioner said on Tuesday.",Initial reports of destruction did not rival the estimated $7.4 billion in insured damage caused by Hurricane Charley in southwest Florida three weeks ago.
NO,"Another winter blast covered California with rain and snow Saturday morning as residents in waterlogged areas, still recovering from wildfires, braced for flash flooding and mudslides.","Heavy rain did not fall Friday in southern communities where waterlogged areas, still recovering from wildfires, braced for flash flooding and mudslides."
NO,Childress led all players with 26 points and nine rebounds and scored 10 points in a five-minute second-half stretch as the Cardinal put the game away.,"Childress was not the reluctant hero, even after 26 points, nine rebounds, two blocks, three steals and three assists."
NO,"New voters also are less likely to be Republicans (27 percent, compared with 36 percent of repeat voters) and more apt to be liberals (28 percent vs. 17 percent).","Among likely voters in this survey, 36 percent are not Democrats."
NO,Analysts surveyed by Thomson First Call were looking for the company to post earnings of 38 cents per share on sales of $12.81 billion in the latest period.,The company did not beat the estimate carried by analysts surveyed by Thomson First Call.
NO,"The announcement at NASA headquarters in Washington confirmed decades of mounting evidence that water once flowed in abundance on Mars, now a frigid and dry planet pocked with craters.","The surface of Mars once was ""drenched"" in water that could not have supported life forms."
NO,"President Bush briefly and vaguely alluded to stem-cell research and cloning during his State of the Union address, instigating much speculation on what to expect in 2005.",President Bush blatantly did not ignore the topic of embryonic stem-cell research in his recent State of the Union address.
NO,Cloning Professor Ian Wilmut and a team of scientists from Kings College London will clone early stage embryos in the hope of finding new treatments for motor neurone disease.,Scientists will not harvest the embryos for stem cells in a quest to understand the causes and find a new treatment for motor neurone disease.
NO,Vice President Dick Cheney yesterday defended the administration's budget plan against Democratic criticism that Bush is seeking steep cuts in scores of federal programs because he is unwilling to roll back first-term tax cuts.,Bush is not seeking large cuts in domestic spending to lower the deficit.
NO,"Microsoft Corp., on Thursday, posted higher quarterly earnings as revenue rose 12 percent, but its shares fell after the world's largest software market said current quarter sales would fall below Wall Street expectations.",Microsoft's forward-looking figures did not remain in line with expectations.
NO,"Dozens of gay and lesbian couples arrived in this rural town Friday to get married after a county clerk announced she would grant marriage licenses to same-sex couples, but the offer was soon revoked.",The mayor announced he would not allow gay nuptials.
NO,"Microsoft Corp., on Thursday, posted higher quarterly earnings as revenue rose 12 percent, but its shares fell after the world's largest software market said current quarter sales would fall below Wall Street expectations.",Microsoft said that earnings for its latest quarter did not beat expectations.
NO,A victory over the Philadelphia Eagles next week would give the New England Patriots three Super Bowl championships in four seasons.,The New England Patriots have never won three Super Bowls in four seasons.
NO,"Employers created 144,000 new payroll jobs in August as the unemployment rate dipped to 5.4 percent, a modest improvement over the 5.5 percent jobless rate in July, the Labor Department reported Friday.",The Labor Department said this sector has not added nearly 1 of every 5 of the new jobs created during the last 12 months.
NO,"Israeli helicopters fired two missiles in separate attacks on a Palestinian refugee camp on Wednesday, killing four people in a stepped-up campaign the army says is aimed at rooting out militants in the Gaza Strip.",Palestinian militants were killed while not trying to infiltrate the Gaza Strip.
NO,"A July 31 bombing at Hebrew University in Jerusalem killed nine people, including five Americans.",A bomb in a Hebrew University cafeteria July 31 did not kill the five Americans and four Israelis.
NO,"Israeli security forces seized large amounts of cash from four Palestinian bank branches Wednesday, saying much of the money was sent by Iran, Syria and Lebanese Hezbollah guerrillas to fund Palestinian militants.",The forces did not take millions of shekels in cash from the bank.
NO,"Orbach, best known for his long-running role as Detective Lennie Briscoe on Law & Order has died.","Orbach, who achieved his widest fame as wisecracking Detective Lennie Briscoe on 'Law & Order,' died."
NO,"One of seven people killed in an explosion at a busy shopping centre near Helsinki was suspected to have carried out the attack, police have said.",The non-teenage bomber behind a blast was one of the seven people who died.
NO,"The vehicles were stranded about 4 a.m. in 3 to 4 feet of snow on a 15-mile stretch of Highway 18 between Snow Valley ski resort and Big Bear dam, said Tracey Martinez.",The snow storm on Highway 18 caused vehicles to slide on the roadway.
NO,"Quarterback Donovan McNabb was every bit Quarterback Tom Brady's equal for 48 passes Sunday night, throwing for 357 yards and three touchdowns in his Super Bowl debut for the Philadelphia Eagles.",McNabb's 357 yards were not the best postseason game of his career.
NO,"Foreign aid workers will have to take military escorts to areas of Indonesia's tsunami-stricken Aceh province deemed unsafe, but troops for such escorts may be in short supply, the Indonesian military said Thursday.",Many parts of tsunami-battered Aceh province were not safe for the military.
NO,"Once a Category 4 hurricane with winds of 145 mph, Frances slowed and weakened to a Category 2 storm as it neared Florida.",After hitting the Florida coast the storm did not lose some of its power.
NO,A controversial film directed by the actor Mel Gibson has been criticised by some Jewish groups who claim it blames Jews for the death of  Jesus.,A controversial film directed by the actor Mel Gibson which depicts the Crucifixion has not opened.
NO,"Bob Geldof and Ultravox singer Midge Ure are teaming up to re-record the song 20 years after the original topped charts around the world, with proceeds going to famine relief in Ethiopia and Sudan.",Midge Ure did not say Dominic Mohan approached him and Bob Geldof about re-recording the single.
NO,"Commissioner Gary Bettman announced Wednesday that players will be locked out starting Thursday, leaving the upcoming season in jeopardy.",Commissioner Gary Bettman did not vote to officially lock out the players.
NO,"Palestinian militants resumed rocket and mortar fire at Jewish settlements in Gaza, signaling tough challenges ahead for Abbas and his call for a truce to help revive peace talks aimed at creating a Palestinian state.",Hamas militants did not fire rockets at Jewish settlements in Gaza.
NO,"Israeli security forces have arrested several Palestinian suspects in the July 31 bombing at Jerusalem's Hebrew University in which nine people, including five Americans, were killed, Israel Radio said Wednesday.",The radio said the suspects were not also responsible for a suicide bomb attack March 9 at Jerusalem's Moment Cafe in which 11 Israelis were killed.
NO,"Club officials, particularly in discussions between Bledsoe and Coach Mike Mularkey last week, afforded the classy veteran the opportunity to consider returning to the team as a backup, and at a reduced salary.",Mularkey offered Bledsoe the chance to remain in Buffalo and not serve as Losman's mentor and backup.
NO,"The original Band Aid featured artists including Duran Duran, U2, Sting and George Michael, selling 3.5 million copies in the UK alone to raise money for the Ethiopia famine.","Not many of the original acts, including George Michael, will appear on the new record."
NO,"If Bush wins West Virginia, one of the state's five Republican electors says he might not vote for Bush to protest the president's economic and foreign policies.",Kerry has not said he still stands by the vote to give Bush the authority to invade Iraq.
NO,"Jackson, 46, is set to face trial in late January on 10 charges that include felony conspiracy with 28 overt acts involving child abduction, false imprisonment and extortion.",Jackson is not set to face trial in January for allegedly molesting a boy.
NO,The White House acknowledged on Monday that Bush's plan to add private accounts to the Social Security retirement system would add tens of billions of dollars to the nation's budget deficit starting in fiscal 2009.,Bush's budget does not allow younger workers to set up private accounts.
NO,"Two car bombs explode near a police station outside of Baghdad's Green Zone, killing seven police officers and wounding about 60 others.",A pair of car bombs explode not near government offices in Baghdad.
NO,The raid Friday on the Abu Hanifa mosque left three people dead and was followed by a wave of attacks in several parts of Baghdad.,The raid not just after Friday prayers left three people dead.
NO,"Insurgents exposed the vulnerability of Iraq's security forces again Sunday, killing at least 22 national guardsmen and their driver in a suicide bombing and 10 other people in separate attacks with elections just weeks away.",A suicide bomber did not blow up his vehicle killing at least 14 people.
NO,"Visiting the Pakistani capital, the American Assistant Secretary of State for South Asia, Christina Rocca, praised Pakistan for its contribution to the US-led war on terrorism.",Assistant Secretary of State met with Pakistani officials not to discuss the global war on terror.
NO,"The chip will run at speeds of greater than 4 GHz, the firms said.",Cell is not said to run at clock speeds greater than 4 gigahertz.
NO,"Saturn's moon Titan is covered by ""dirty"" ice ridges and seas of liquid natural gas, a team of scientists said on Friday after a week of research into data from the space probe Huygens.","Rain does not feed river channels on the surface of Saturn's moon Titan, images from the Huygens probe show."
NO,"Kerry said Wednesday night that Bush bears responsibility for a misguided war in Iraq, lost jobs at home and mounting millions without health care.",Kerry did not say 5 million people had lost their health care.
NO,"Temporary help firms added 32,000 and education and health care services gained 13,000 jobs last month.","Service industries such as education and health care did not add 46,000 jobs."
NO,"Deputy state department spokesman Adam Ereli said the US had long assumed that North Korea had a nuclear capability, and stressed the importance of the six-party talks.",The US has said it does not hope to persuade North Korea to return to multi-party talks.
NO,"Exhausted survivors of southern Asia's giant earthquake and tsunami combed the rubble for food and belongings Tuesday as officials stepped up efforts to identify and bury the dead, whose numbers topped 60,000.",Survivors still wandered amid rubble looking for food that had not arrived.
