contradiction,type,t,h
NO,none,Socrates is a software application for the Macintosh computer developed at the University of Texas at Austin.,Socrates did not develop the Macintosh computer.
NO,none,"Changes in the cell-cycle and apoptotic machineries, or in the signalling pathways that control them allow cancer cells to escape the normal control of cell proliferation and cell death.",The altered cellular networks of molecular pathways sustain cancer cell growth and do not make them resistant to certain therapies.
NO,none,"The debt load has hamstrung Trump's attempts to expand his Trump Marina, Trump Taj Mahal and Trump Plaza casinos in Atlantic City.",The company will never expand Trump Taj Mahal.
NO,none,"Monday, when the hearings begin, the Palestinians will hold their demonstration during the same hours, and a 25-person counter-demonstration by Israelis and Jews will take place.",Israelis will demonstrate and a counter-demonstration of 25 Palestinians will not be permitted as well.
NO,none,"Second seed Roddick double-faulted on break point in the fifth game to let the first set slip and, after twice failing to convert from 0-40, was soon two sets down.",Roddick did not hit back from two sets down.
NO,none,UN Secretary of State Kofi Annan is in Sri Lanka amid tension between the government and rebels that threatens to undermine tsunami relief efforts.,No tensions between government and rebels in the two countries worst hit by the tsunami disaster threaten to undermine aid efforts.
NO,none,"Author Alan Hollinghurst's novel, ""The Line of Beauty"", a tale of a young, gay man dazzled by drugs, power and money in Margaret Thatcher's London, today won Britain's most prestigious literary award.",A book about a gay man without HIV in Thatcher's Britain won.
NO,none,"Still, violence continued: Insurgents killed five U.S. soldiers, set off a suicide car bomb that killed four Iraqi policemen in Baghdad and targeted more polling sites across the country.","Five US soldiers were killed, and at least 10 Iraqis did not die in Baghdad."
NO,none,"Considering the amount of rain that soaked Riviera, Campbell didn't expect to complete his second round Friday in the Nissan Open.",Campbell did not finish his second round Friday.
NO,none,"Richard Lennon, named to replace Cardinal Bernard Law until a new leader is named for the Archdiocese of Boston, faces a church in turmoil.",The pope did not name Bishop Richard Lennon to fill in for Law.
NO,none,"Michael Moore's anti-Bush documentary Fahrenheit 9/11 has won best film at the US People's Choice Awards, voted for by the US public.",Filmmaker Michael Moore was not all smiles after winning top honors at the People's Choice Awards.
NO,none,"Commandos stormed a school Friday in southern Russia and battled separatist rebels holding hundreds of hostages as crying children, some naked and covered in blood, fled the building through explosions and gunfire.",Women escaping the building were seen fainting and were not carried away on stretchers.
NO,none,"Prime Minister Paavo Lipponen said yesterday that it was too early to say whether it was a terrorist organisation or a single person acting alone, but added the bomb was ""built to cause maximum damage"".",Prime Minister Paavo Lipponen said the government was investigating whether the attack may not have been linked to terrorism.
NO,none,"The model for the new network is an existing system in the Pacific, which was established in 1965 and now provides early tsunami warnings to 26 nations.",The key is not laying the foundation for an Indian Ocean tsunami early warning system.
NO,none,"After meeting officials from groups including Hamas and Islamic Jihad,  Palestinian Prime Minister Ahmed Qurei said commanders had agreed on a plan to ensure security and order.",Qureia never met in Gaza with the heads of Palestinian factions.
NO,none,"Rescuers using shovels, high-tech cameras and their bare hands to search the rubble of a California mudslide found the bodies of three children and a woman before dawn Wednesday, bringing the death toll to 10.",The bodies of a mother and three young children were pulled from the rubble.
NO,none,After just four days on the job: Wally Backman was fired Friday as manager of the Arizona Diamondbacks because of two arrests and financial problems he kept from the team.,Backman did not file for bankruptcy.
NO,none,U.S. helicopters rescued dozens of desperate and weak tsunami survivors Monday as the American military relief operation reached out to remote areas of Indonesia with cartons of food and water.,Indonesian helicopters brought no much-needed supplies.
NO,none,"Employers created 144,000 new payroll jobs in August as the unemployment rate dipped to 5.4 percent, a modest improvement over the 5.5 percent jobless rate in July, the Labor Department reported Friday.",The Labor Department never raises the new-job number.
NO,none,"The film, which teams Ben Stiller, Robert De Niro, Barbra Streisand  and Dustin Hoffman, has grossed more than $163 million during its 12-day run, according to studio estimates.",The non-comedy sequel reunites Ben Stiller and Robert De Niro.
NO,none,"Employers created 144,000 new payroll jobs in August as the unemployment rate dipped to 5.4 percent, a modest improvement over the 5.5 percent jobless rate in July, the Labor Department reported Friday.",The Labor Department reported that the average hourly wage did not rise.
NO,none,"Israeli helicopters shot two missiles at a car driving through the Gaza Strip on Wednesday, killing three people, Palestinian security sources said.",Three militants not from the Islamic Jihad group were killed when Israeli helicopters fired missiles at a car in the Gaza Strip.
NO,none,"Since the start of the 2003 season, New England has won 19 of 20 games against teams that finished the season with a winning record.",New England simply does lose.
NO,none,"Hurricane Frances destroyed more of the citrus crop in some places in Florida than Hurricane Charley did three weeks ago, the state's agriculture commissioner said on Tuesday.",Initial reports of destruction did not rival the estimated $7.4 billion in insured damage caused by Hurricane Charley in southwest Florida three weeks ago.
NO,none,"Another winter blast covered California with rain and snow Saturday morning as residents in waterlogged areas, still recovering from wildfires, braced for flash flooding and mudslides.","Heavy rain did not fall Friday in southern communities where waterlogged areas, still recovering from wildfires, braced for flash flooding and mudslides."
NO,none,Childress led all players with 26 points and nine rebounds and scored 10 points in a five-minute second-half stretch as the Cardinal put the game away.,"Childress was not the reluctant hero, even after 26 points, nine rebounds, two blocks, three steals and three assists."
NO,none,"New voters also are less likely to be Republicans (27 percent, compared with 36 percent of repeat voters) and more apt to be liberals (28 percent vs. 17 percent).","Among likely voters in this survey, 36 percent are not Democrats."
NO,none,Analysts surveyed by Thomson First Call were looking for the company to post earnings of 38 cents per share on sales of $12.81 billion in the latest period.,The company did not beat the estimate carried by analysts surveyed by Thomson First Call.
NO,none,"The announcement at NASA headquarters in Washington confirmed decades of mounting evidence that water once flowed in abundance on Mars, now a frigid and dry planet pocked with craters.","The surface of Mars once was ""drenched"" in water that could not have supported life forms."
NO,none,"President Bush briefly and vaguely alluded to stem-cell research and cloning during his State of the Union address, instigating much speculation on what to expect in 2005.",President Bush blatantly did not ignore the topic of embryonic stem-cell research in his recent State of the Union address.
NO,none,Cloning Professor Ian Wilmut and a team of scientists from Kings College London will clone early stage embryos in the hope of finding new treatments for motor neurone disease.,Scientists will not harvest the embryos for stem cells in a quest to understand the causes and find a new treatment for motor neurone disease.
NO,none,Vice President Dick Cheney yesterday defended the administration's budget plan against Democratic criticism that Bush is seeking steep cuts in scores of federal programs because he is unwilling to roll back first-term tax cuts.,Bush is not seeking large cuts in domestic spending to lower the deficit.
NO,none,"Microsoft Corp., on Thursday, posted higher quarterly earnings as revenue rose 12 percent, but its shares fell after the world's largest software market said current quarter sales would fall below Wall Street expectations.",Microsoft's forward-looking figures did not remain in line with expectations.
NO,none,"Dozens of gay and lesbian couples arrived in this rural town Friday to get married after a county clerk announced she would grant marriage licenses to same-sex couples, but the offer was soon revoked.",The mayor announced he would not allow gay nuptials.
NO,none,"Microsoft Corp., on Thursday, posted higher quarterly earnings as revenue rose 12 percent, but its shares fell after the world's largest software market said current quarter sales would fall below Wall Street expectations.",Microsoft said that earnings for its latest quarter did not beat expectations.
NO,none,A victory over the Philadelphia Eagles next week would give the New England Patriots three Super Bowl championships in four seasons.,The New England Patriots have never won three Super Bowls in four seasons.
NO,none,"Employers created 144,000 new payroll jobs in August as the unemployment rate dipped to 5.4 percent, a modest improvement over the 5.5 percent jobless rate in July, the Labor Department reported Friday.",The Labor Department said this sector has not added nearly 1 of every 5 of the new jobs created during the last 12 months.
NO,none,"Israeli helicopters fired two missiles in separate attacks on a Palestinian refugee camp on Wednesday, killing four people in a stepped-up campaign the army says is aimed at rooting out militants in the Gaza Strip.",Palestinian militants were killed while not trying to infiltrate the Gaza Strip.
NO,none,"A July 31 bombing at Hebrew University in Jerusalem killed nine people, including five Americans.",A bomb in a Hebrew University cafeteria July 31 did not kill the five Americans and four Israelis.
NO,none,"Israeli security forces seized large amounts of cash from four Palestinian bank branches Wednesday, saying much of the money was sent by Iran, Syria and Lebanese Hezbollah guerrillas to fund Palestinian militants.",The forces did not take millions of shekels in cash from the bank.
NO,none,"Orbach, best known for his long-running role as Detective Lennie Briscoe on Law & Order has died.","Orbach, who achieved his widest fame as wisecracking Detective Lennie Briscoe on 'Law & Order,' died."
NO,none,"One of seven people killed in an explosion at a busy shopping centre near Helsinki was suspected to have carried out the attack, police have said.",The non-teenage bomber behind a blast was one of the seven people who died.
NO,none,"The vehicles were stranded about 4 a.m. in 3 to 4 feet of snow on a 15-mile stretch of Highway 18 between Snow Valley ski resort and Big Bear dam, said Tracey Martinez.",The snow storm on Highway 18 caused vehicles to slide on the roadway.
NO,none,"Quarterback Donovan McNabb was every bit Quarterback Tom Brady's equal for 48 passes Sunday night, throwing for 357 yards and three touchdowns in his Super Bowl debut for the Philadelphia Eagles.",McNabb's 357 yards were not the best postseason game of his career.
NO,none,"Foreign aid workers will have to take military escorts to areas of Indonesia's tsunami-stricken Aceh province deemed unsafe, but troops for such escorts may be in short supply, the Indonesian military said Thursday.",Many parts of tsunami-battered Aceh province were not safe for the military.
NO,none,"Once a Category 4 hurricane with winds of 145 mph, Frances slowed and weakened to a Category 2 storm as it neared Florida.",After hitting the Florida coast the storm did not lose some of its power.
NO,none,A controversial film directed by the actor Mel Gibson has been criticised by some Jewish groups who claim it blames Jews for the death of  Jesus.,A controversial film directed by the actor Mel Gibson which depicts the Crucifixion has not opened.
NO,none,"Bob Geldof and Ultravox singer Midge Ure are teaming up to re-record the song 20 years after the original topped charts around the world, with proceeds going to famine relief in Ethiopia and Sudan.",Midge Ure did not say Dominic Mohan approached him and Bob Geldof about re-recording the single.
NO,none,"Commissioner Gary Bettman announced Wednesday that players will be locked out starting Thursday, leaving the upcoming season in jeopardy.",Commissioner Gary Bettman did not vote to officially lock out the players.
NO,none,"Palestinian militants resumed rocket and mortar fire at Jewish settlements in Gaza, signaling tough challenges ahead for Abbas and his call for a truce to help revive peace talks aimed at creating a Palestinian state.",Hamas militants did not fire rockets at Jewish settlements in Gaza.
NO,none,"Israeli security forces have arrested several Palestinian suspects in the July 31 bombing at Jerusalem's Hebrew University in which nine people, including five Americans, were killed, Israel Radio said Wednesday.",The radio said the suspects were not also responsible for a suicide bomb attack March 9 at Jerusalem's Moment Cafe in which 11 Israelis were killed.
NO,none,"Club officials, particularly in discussions between Bledsoe and Coach Mike Mularkey last week, afforded the classy veteran the opportunity to consider returning to the team as a backup, and at a reduced salary.",Mularkey offered Bledsoe the chance to remain in Buffalo and not serve as Losman's mentor and backup.
NO,none,"The original Band Aid featured artists including Duran Duran, U2, Sting and George Michael, selling 3.5 million copies in the UK alone to raise money for the Ethiopia famine.","Not many of the original acts, including George Michael, will appear on the new record."
NO,none,"If Bush wins West Virginia, one of the state's five Republican electors says he might not vote for Bush to protest the president's economic and foreign policies.",Kerry has not said he still stands by the vote to give Bush the authority to invade Iraq.
NO,none,"Jackson, 46, is set to face trial in late January on 10 charges that include felony conspiracy with 28 overt acts involving child abduction, false imprisonment and extortion.",Jackson is not set to face trial in January for allegedly molesting a boy.
NO,none,The White House acknowledged on Monday that Bush's plan to add private accounts to the Social Security retirement system would add tens of billions of dollars to the nation's budget deficit starting in fiscal 2009.,Bush's budget does not allow younger workers to set up private accounts.
NO,none,"Two car bombs explode near a police station outside of Baghdad's Green Zone, killing seven police officers and wounding about 60 others.",A pair of car bombs explode not near government offices in Baghdad.
NO,none,The raid Friday on the Abu Hanifa mosque left three people dead and was followed by a wave of attacks in several parts of Baghdad.,The raid not just after Friday prayers left three people dead.
NO,none,"Insurgents exposed the vulnerability of Iraq's security forces again Sunday, killing at least 22 national guardsmen and their driver in a suicide bombing and 10 other people in separate attacks with elections just weeks away.",A suicide bomber did not blow up his vehicle killing at least 14 people.
NO,none,"Visiting the Pakistani capital, the American Assistant Secretary of State for South Asia, Christina Rocca, praised Pakistan for its contribution to the US-led war on terrorism.",Assistant Secretary of State met with Pakistani officials not to discuss the global war on terror.
NO,none,"The chip will run at speeds of greater than 4 GHz, the firms said.",Cell is not said to run at clock speeds greater than 4 gigahertz.
NO,none,"Saturn's moon Titan is covered by ""dirty"" ice ridges and seas of liquid natural gas, a team of scientists said on Friday after a week of research into data from the space probe Huygens.","Rain does not feed river channels on the surface of Saturn's moon Titan, images from the Huygens probe show."
NO,none,"Kerry said Wednesday night that Bush bears responsibility for a misguided war in Iraq, lost jobs at home and mounting millions without health care.",Kerry did not say 5 million people had lost their health care.
NO,none,"Temporary help firms added 32,000 and education and health care services gained 13,000 jobs last month.","Service industries such as education and health care did not add 46,000 jobs."
NO,none,"Deputy state department spokesman Adam Ereli said the US had long assumed that North Korea had a nuclear capability, and stressed the importance of the six-party talks.",The US has said it does not hope to persuade North Korea to return to multi-party talks.
NO,none,"Exhausted survivors of southern Asia's giant earthquake and tsunami combed the rubble for food and belongings Tuesday as officials stepped up efforts to identify and bury the dead, whose numbers topped 60,000.",Survivors still wandered amid rubble looking for food that had not arrived.
NO,none,"The original Band Aid featured artists including Duran Duran, U2, Sting and George Michael, selling 3.5 million copies in the UK alone to raise money for the Ethiopia famine.","The first Band Aid record was not recorded in 1984 and featured artists including Duran Duran, U2, and George Michael."
NO,none,"Two car bombs explode near a police station outside of Baghdad's Green Zone, killing seven police officers and wounding about 60 others.",60 people are killed when a car bomb explodes near a police station not in Baghdad.
NO,none,"Roger Federer posted a huge win in the howling wind, beating two-time champion Andre Agassi 6-3, 2-6, 7-5, 3-6, 6-3 Thursday in a U.S. Open quarterfinal match suspended the previous night because of rain.",Andre Agassi is not keen to continue playing despite defeat to Roger Federer in the US Open quarter-finals on Thursday.
NO,none,Kerry said Bush lied to Nevadans about his Republican administration's determination to build a nuclear waste dump at Yucca Mountain.,"Kerry said the nuclear waste dump issue is not important to all Americans, not just Nevada."
NO,none,"A study of the United States at war in the past 50 years has picked up one of the main awards at the 2005 Sundance Film Festival in Utah, in the US.",Sundance Institute did not take over the former Utah/United States Film Festival.
NO,none,Iraqi forces backed by U.S. soldiers and Marines raided mosques Tuesday in the insurgent stronghold of Ramadi and detained a prominent cleric following fierce clashes that hospital officials said killed at least four people.,Insurgents had not repeatedly used mosques as shelters.
NO,none,"England has come a long way in improving cancer survival rates in the past 30 years but still does not match up to Europe and the US, a report says.","Overall survival rates were found to be increasing in England, but were still poor not compared to Sweden."
NO,none,"At an international disaster conference in Kobe, Japan, the U.N. humanitarian chief said the United Nations should take the lead in creating a tsunami early-warning system in the Indian Ocean.",Nations not affected by the Asian tsunami disaster have agreed the UN should begin work on an early warning system in the Indian Ocean.
NO,none,Analysts surveyed by Thomson First Call were looking for the company to post earnings of 38 cents per share on sales of $12.81 billion in the latest period.,SBC did not report earnings of 38 cents per share in the latest quarter.
NO,none,"The three-day hostage siege at a school in southern Russia ended in chaos and bloodshed Friday, after witnesses said Chechen militants set off bombs and Russian commandos stormed the building.",The hostage takers do not want the release of Chechen rebels.
NO,none,"Saddam Hussein destroyed his chemical and biological weapons after the 1991 Gulf War and dismantled what remained of his mass-destruction weapons programs by 1996, the CIA's top Iraqi weapons adviser reported Wednesday.","Saddam Hussein did not end his nuclear programme in 1991, after the Gulf War."
NO,none,"Mount St. Helens emitted a large plume of steam on Monday, with fears of an eruption rising as scientists estimated the width of the volcano's crater had expanded by 15 to 30 metres.",After a steam eruption scientists raised the alert level for Mount St. Helens.
NO,none,"Designers say their chip, code-named Cell and built from the start with the burgeoning world of rich media and broadband networks in mind, can deliver 10 times the performance of today's PC processors.",Designers say the chip does not have the potential to efficiently handle several multimedia tasks at once.
NO,none,"Rising wholesale prices and a jump in oil futures intensified inflation fears Friday, keeping stocks mixed and sending bond prices falling.","Wholesale prices rose not at the fastest rate in six years, causing a selloff on the bond market and pressured stocks as well."
NO,none,"The Motion Picture Association of America (MPAA) said the civil suits would seek damages of up to $30,000 per film.","The law does not state $30,000 damages can be sought per film."
NO,none,"Saddam Hussein destroyed his chemical and biological weapons after the 1991 Gulf War and dismantled what remained of his mass-destruction weapons programs by 1996, the CIA's top Iraqi weapons adviser reported Wednesday.",Saddam Hussein had not used chemical weapons in the past.
NO,none,"A statement distributed early today by the Governing Council said the members would reconvene Monday ""to finalize"" outstanding issues ""and sign"" the interim charter.",Members of Iraq's Governing Council did not refuse to sign an interim constitution.
NO,none,"Commandos stormed a school Friday in southern Russia and battled separatist rebels holding hundreds of hostages as crying children, some naked and covered in blood, fled the building through explosions and gunfire.","The total number of hostages held in the school may not have been as many as 1,200."
NO,none,A huge car bomb killed Lebanon's former prime minister al-Hariri and at least 12 other people Monday in Beirut's most devastating attack since the 1975-90 civil war.,A bomb blew up close to Hariri's motorcade in Beirut on Monday.
NO,none,"Such a margin of victory would give Abbas a clear mandate to renew peace talks with Israel, rein in militants and reform the corruption-riddled Palestinian Authority.",The new Palestinian president combatted corruption and did not revive the Palestinian economy.
NO,none,"U.S. Secretary of State Condoleezza Rice said on Wednesday that Iran must live up to its international obligations to halt its nuclear program or ""the next steps are in the offing.""",US Secretary of State Condoleezza Rice has not warned Iran it faces possible UN sanctions.
NO,none,"The U.S. military staged a series of aggressive strikes Tuesday in insurgent strongholds west of Baghdad, including firing missiles into the streets of Fallujah and conducting raids alongside Iraqi commandos in seven mosques in Ramadi.","Clashes broke out between U.S. forces and insurgents in Fallujah, not killing one Iraqi."
NO,none,"The deal comes some two weeks after a $16 billion deal was reached between AT&T and SBC, a top rival for Qwest.",The two firms sealed the deal despite what was not thought to be a higher offer from rival US carrier Qwest.
NO,none,"The model for the new network is an existing system in the Pacific, which was established in 1965 and now provides early tsunami warnings to 26 nations.",Japan's warning system can not issue an alert for a deadly tsunami within minutes of an undersea quake.
NO,none,"Former South African President Nelson Mandela blasted the United States for 'undermining' the U.N. and President Bush for a desire to start a world 'holocaust,' Tom Fenton reports.",Mandela did not say Bush is 'undermining' past work of the United Nations.
NO,none,"Phil Mickelson finished a triumphant week in his second home, winning the FBR Open by five strokes for his largest margin of victory in a PGA Tour event.","Mickelson won by five shots last week, which was not the largest margin of his career."
NO,none,"A bomb blew up close to Hariri's motorcade in Beirut on Monday, killing at least 15 people and injuring about 120 others.",Mr. Hariri did not die when a bomb exploded near his motorcade in Beirut on Monday.
NO,none,The scientists said the existence of water or ice would significantly increase the chance that microscopic life may also be found on Mars.,The non-frozen sea of sorts is the first large quantity of water ice on Mars.
NO,none,Former European Ryder Cup winning captain Sam Torrance says Welshman Ian Woosnam is the right man to lead Europe at the 2006 match in Ireland.,"Torrance never told BBC Sport: ""I think Ian Woosnam should get it"" (the 2006 captaincy)."
NO,none,The 2004-2005 season was officially canceled yesterday when the hockey team owners and players couldn't agree on what players should be paid.,Both owners and players never admit there is unlikely to be much negotiating.
NO,none,The militant group led by Abu Musab al-Zarqawi claimed responsibility for the slaying and said another hostage - either an American or a Briton - would be killed in 24 hours.,Abu Musab al-Zarqawi's group will not behead one of the hostages.
NO,none,"Commandos stormed a school Friday in southern Russia and battled separatist rebels holding hundreds of hostages as crying children, some naked and covered in blood, fled the building through explosions and gunfire.",Hundreds of people were not killed after terrorists seized a school building.
NO,none,"Packard Co. will start selling its version of the iPod digital music player next month and will add new flat-panel televisions, photo printers and computers that handle media to help the company tap consumer demand.",Packard Co. Friday did not unveil its version of the iPod digital music player.
NO,none,"The Israeli army said in a statement that the car carried ""three senior Hamas militants"" who plotted attacks against civilians in the past and were planning more.","The IDF never said the air force targeted a car carrying ""senior Hamas militants""."
NO,none,Shares of Apple Computer Inc. surged Thursday after the computer maker plowed through earnings forecasts with strong sales of its popular iPod digital music player.,Apple said the iPod had not helped its quarterly earnings more than quadruple.
